taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,sourcePod,destPod,isCrossPod,logicalRound,basePlane,actualPlane,sourcePlanePrevPhase,recvPlanePrevPhase
89,5,15,1164221,URMA_WRITE,4,0ns,89,82,1,3,1,1,0,1,82,
90,6,0,1121007,URMA_WRITE,6,0ns,90,97,1,0,1,1,1,3,97,
91,6,1,1096732,URMA_WRITE,6,0ns,91,90,1,0,1,2,1,3,90,
92,6,2,1141854,URMA_WRITE,4,0ns,92,93,1,0,1,1,3,1,93,
93,6,3,1162850,URMA_WRITE,4,0ns,93,,1,0,1,0,3,1,,
94,6,4,1244382,URMA_WRITE,7,0ns,94,,1,1,0,,,,,
95,6,5,1202918,URMA_WRITE,7,0ns,95,,1,1,0,,,,,
96,6,7,1132637,URMA_WRITE,7,0ns,96,,1,1,0,,,,,
97,6,8,1214888,URMA_WRITE,6,0ns,97,,1,2,1,0,1,3,,
98,6,9,1194991,URMA_WRITE,3,0ns,98,,1,2,1,0,2,0,,
99,6,10,1100667,URMA_WRITE,5,0ns,99,104,1,2,1,2,0,2,104,
100,6,11,1133388,URMA_WRITE,3,0ns,100,98,1,2,1,1,2,0,98,
101,6,12,1075047,URMA_WRITE,3,0ns,101,100,1,3,1,2,2,0,100,
102,6,13,1064726,URMA_WRITE,4,0ns,102,92,1,3,1,2,3,1,92,
103,6,14,1234216,URMA_WRITE,5,0ns,103,,1,3,1,0,0,2,,
104,6,15,1108572,URMA_WRITE,5,0ns,104,103,1,3,1,1,0,2,103,
105,7,0,1121315,URMA_WRITE,6,0ns,105,106,1,0,1,1,0,3,106,
106,7,1,1249158,URMA_WRITE,6,0ns,106,,1,0,1,0,0,3,,
107,7,2,1201196,URMA_WRITE,5,0ns,107,,1,0,1,0,3,2,,
108,7,3,1209907,URMA_WRITE,4,0ns,108,,1,0,1,0,2,1,,
109,7,4,1110813,URMA_WRITE,7,0ns,109,,1,1,0,,,,,
110,7,5,1080595,URMA_WRITE,7,0ns,110,,1,1,0,,,,,
111,7,6,1135363,URMA_WRITE,7,0ns,111,,1,1,0,,,,,
112,7,8,1095116,URMA_WRITE,6,0ns,112,105,1,2,1,2,0,3,105,
113,7,9,1124840,URMA_WRITE,3,0ns,113,118,1,2,1,1,1,0,118,
114,7,10,1168905,URMA_WRITE,5,0ns,114,107,1,2,1,1,3,2,107,
115,7,11,1055306,URMA_WRITE,5,0ns,115,114,1,2,1,2,3,2,114,
116,7,12,1059798,URMA_WRITE,4,0ns,116,117,1,3,1,2,2,1,117,
117,7,13,1142183,URMA_WRITE,4,0ns,117,108,1,3,1,1,2,1,108,
118,7,14,1231366,URMA_WRITE,3,0ns,118,,1,3,1,0,1,0,,
119,7,15,1070231,URMA_WRITE,3,0ns,119,113,1,3,1,2,1,0,113,
120,8,0,1123466,URMA_WRITE,4,0ns,120,125,2,0,1,2,1,1,125,
121,8,1,1241219,URMA_WRITE,3,0ns,121,,2,0,1,0,0,0,,
122,8,2,1225579,URMA_WRITE,5,0ns,122,,2,0,1,0,2,2,,
123,8,3,1134329,URMA_WRITE,5,0ns,123,122,2,0,1,1,2,2,122,
124,8,4,1053343,URMA_WRITE,6,0ns,124,131,2,1,1,2,3,3,131,
125,8,5,1133198,URMA_WRITE,4,0ns,125,133,2,1,1,1,1,1,133,
126,8,6,1124334,URMA_WRITE,3,0ns,126,127,2,1,1,2,0,0,127,
127,8,7,1132901,URMA_WRITE,3,0ns,127,121,2,1,1,1,0,0,121,
128,8,9,1088660,URMA_WRITE,7,0ns,128,,2,2,0,,,,,
129,8,10,1251800,URMA_WRITE,7,0ns,129,,2,2,0,,,,,
130,8,11,1219473,URMA_WRITE,7,0ns,130,,2,2,0,,,,,
131,8,12,1156167,URMA_WRITE,6,0ns,131,132,2,3,1,1,3,3,132,
132,8,13,1211239,URMA_WRITE,6,0ns,132,,2,3,1,0,3,3,,
133,8,14,1226845,URMA_WRITE,4,0ns,133,,2,3,1,0,1,1,,
134,8,15,1068959,URMA_WRITE,5,0ns,134,123,2,3,1,2,2,2,123,
135,9,0,1125491,URMA_WRITE,6,0ns,135,138,2,0,1,1,2,3,138,
136,9,1,1210510,URMA_WRITE,4,0ns,136,,2,0,1,0,0,1,,
137,9,2,1098754,URMA_WRITE,4,0ns,137,141,2,0,1,2,0,1,141,
138,9,3,1165005,URMA_WRITE,6,0ns,138,,2,0,1,0,2,3,,
139,9,4,1125120,URMA_WRITE,5,0ns,139,146,2,1,1,1,1,2,146,
140,9,5,1084342,URMA_WRITE,5,0ns,140,139,2,1,1,2,1,2,139,
141,9,6,1114124,URMA_WRITE,4,0ns,141,136,2,1,1,1,0,1,136,
142,9,7,1148619,URMA_WRITE,3,0ns,142,,2,1,1,0,3,0,,
143,9,8,1205550,URMA_WRITE,7,0ns,143,,2,2,0,,,,,
144,9,10,1090231,URMA_WRITE,7,0ns,144,,2,2,0,,,,,
145,9,11,1135426,URMA_WRITE,7,0ns,145,,2,2,0,,,,,
146,9,12,1198808,URMA_WRITE,5,0ns,146,,2,3,1,0,1,2,,
147,9,13,1051039,URMA_WRITE,3,0ns,147,148,2,3,1,2,3,0,148,
148,9,14,1143819,URMA_WRITE,3,0ns,148,142,2,3,1,1,3,0,142,
149,9,15,1060319,URMA_WRITE,6,0ns,149,135,2,3,1,2,2,3,135,
150,10,0,1167795,URMA_WRITE,3,0ns,150,,2,0,1,0,2,0,,
