nodeId1,portId1,nodeId2,portId2,bandwidth,delay
33,3,92,1,400Gbps,1ns
33,4,100,1,400Gbps,1ns
33,5,108,1,400Gbps,1ns
33,6,116,1,400Gbps,1ns
33,7,124,1,400Gbps,1ns
34,0,68,2,400Gbps,1ns
34,1,76,2,400Gbps,1ns
34,2,84,2,400Gbps,1ns
34,3,92,2,400Gbps,1ns
34,4,100,2,400Gbps,1ns
34,5,108,2,400Gbps,1ns
34,6,116,2,400Gbps,1ns
34,7,124,2,400Gbps,1ns
35,0,68,3,400Gbps,1ns
35,1,76,3,400Gbps,1ns
35,2,84,3,400Gbps,1ns
35,3,92,3,400Gbps,1ns
35,4,100,3,400Gbps,1ns
35,5,108,3,400Gbps,1ns
35,6,116,3,400Gbps,1ns
35,7,124,3,400Gbps,1ns
36,0,68,4,400Gbps,1ns
36,1,76,4,400Gbps,1ns
36,2,84,4,400Gbps,1ns
36,3,92,4,400Gbps,1ns
36,4,100,4,400Gbps,1ns
36,5,108,4,400Gbps,1ns
36,6,116,4,400Gbps,1ns
36,7,124,4,400Gbps,1ns
37,0,68,5,400Gbps,1ns
37,1,76,5,400Gbps,1ns
37,2,84,5,400Gbps,1ns
37,3,92,5,400Gbps,1ns
37,4,100,5,400Gbps,1ns
37,5,108,5,400Gbps,1ns
37,6,116,5,400Gbps,1ns
37,7,124,5,400Gbps,1ns
38,0,68,6,400Gbps,1ns
38,1,76,6,400Gbps,1ns
38,2,84,6,400Gbps,1ns
38,3,92,6,400Gbps,1ns
38,4,100,6,400Gbps,1ns
38,5,108,6,400Gbps,1ns
38,6,116,6,400Gbps,1ns
38,7,124,6,400Gbps,1ns
39,0,68,7,400Gbps,1ns
39,1,76,7,400Gbps,1ns
39,2,84,7,400Gbps,1ns
39,3,92,7,400Gbps,1ns
39,4,100,7,400Gbps,1ns
39,5,108,7,400Gbps,1ns
39,6,116,7,400Gbps,1ns
39,7,124,7,400Gbps,1ns
40,0,69,0,400Gbps,1ns
40,1,77,0,400Gbps,1ns
40,2,85,0,400Gbps,1ns
40,3,93,0,400Gbps,1ns
40,4,101,0,400Gbps,1ns
40,5,109,0,400Gbps,1ns
40,6,117,0,400Gbps,1ns
40,7,125,0,400Gbps,1ns
41,0,69,1,400Gbps,1ns
41,1,77,1,400Gbps,1ns
41,2,85,1,400Gbps,1ns
41,3,93,1,400Gbps,1ns
41,4,101,1,400Gbps,1ns
41,5,109,1,400Gbps,1ns
41,6,117,1,400Gbps,1ns
41,7,125,1,400Gbps,1ns
42,0,69,2,400Gbps,1ns
42,1,77,2,400Gbps,1ns
42,2,85,2,400Gbps,1ns
42,3,93,2,400Gbps,1ns
42,4,101,2,400Gbps,1ns
42,5,109,2,400Gbps,1ns
42,6,117,2,400Gbps,1ns
42,7,125,2,400Gbps,1ns
43,0,69,3,400Gbps,1ns
43,1,77,3,400Gbps,1ns
43,2,85,3,400Gbps,1ns
43,3,93,3,400Gbps,1ns
43,4,101,3,400Gbps,1ns
43,5,109,3,400Gbps,1ns
43,6,117,3,400Gbps,1ns
43,7,125,3,400Gbps,1ns
44,0,69,4,400Gbps,1ns
44,1,77,4,400Gbps,1ns
44,2,85,4,400Gbps,1ns
44,3,93,4,400Gbps,1ns
