nodeId,dstNodeId,dstPortId,outPorts,metrics
0,9,3,3,2
0,9,4,4,2
0,9,5,5,2
0,9,6,6,2
0,9,7,7,2
0,9,8,8,2
0,9,9,9,2
0,9,10,10,2
0,9,11,11,2
0,10,0,0,2
0,10,1,1,2
0,10,2,2,2
0,10,3,3,2
0,10,4,4,2
0,10,5,5,2
0,10,6,6,2
0,10,7,7,2
0,10,8,8,2
0,10,9,9,2
0,10,10,10,2
0,10,11,11,2
0,11,0,0,2
0,11,1,1,2
0,11,2,2,2
0,11,3,3,2
0,11,4,4,2
0,11,5,5,2
0,11,6,6,2
0,11,7,7,2
0,11,8,8,2
0,11,9,9,2
0,11,10,10,2
0,11,11,11,2
0,12,0,0,2
0,12,1,1,2
0,12,2,2,2
0,12,3,3,2
0,12,4,4,2
0,12,5,5,2
0,12,6,6,2
0,12,7,7,2
0,12,8,8,2
0,12,9,9,2
0,12,10,10,2
0,12,11,11,2
0,13,0,0,2
0,13,1,1,2
0,13,2,2,2
0,13,3,3,2
0,13,4,4,2
0,13,5,5,2
0,13,6,6,2
0,13,7,7,2
0,13,8,8,2
0,13,9,9,2
0,13,10,10,2
0,13,11,11,2
0,14,0,0,2
0,14,1,1,2
0,14,2,2,2
0,14,3,3,2
0,14,4,4,2
0,14,5,5,2
0,14,6,6,2
0,14,7,7,2
0,14,8,8,2
0,14,9,9,2
0,14,10,10,2
0,14,11,11,2
0,15,0,0,2
0,15,1,1,2
0,15,2,2,2
0,15,3,3,2
0,15,4,4,2
0,15,5,5,2
0,15,6,6,2
0,15,7,7,2
0,15,8,8,2
0,15,9,9,2
0,15,10,10,2
0,15,11,11,2
0,16,0,0,2
0,16,1,1,2
0,16,2,2,2
0,16,3,3,2
0,16,4,4,2
0,16,5,5,2
0,16,6,6,2
0,16,7,7,2
0,16,8,8,2
0,16,9,9,2
0,16,10,10,2
0,16,11,11,2
0,17,0,0,2
0,17,1,1,2
0,17,2,2,2
0,17,3,3,2
0,17,4,4,2
0,17,5,5,2
0,17,6,6,2
0,17,7,7,2
0,17,8,8,2
0,17,9,9,2
0,17,10,10,2
0,17,11,11,2
0,18,0,0,2
0,18,1,1,2
0,18,2,2,2
0,18,3,3,2
0,18,4,4,2
0,18,5,5,2
0,18,6,6,2
0,18,7,7,2
0,18,8,8,2
0,18,9,9,2
0,18,10,10,2
0,18,11,11,2
0,19,0,0,2
0,19,1,1,2
0,19,2,2,2
0,19,3,3,2
0,19,4,4,2
0,19,5,5,2
0,19,6,6,2
0,19,7,7,2
0,19,8,8,2
0,19,9,9,2
0,19,10,10,2
0,19,11,11,2
0,20,0,0,2
0,20,1,1,2
0,20,2,2,2
0,20,3,3,2
0,20,4,4,2
0,20,5,5,2
0,20,6,6,2
0,20,7,7,2
0,20,8,8,2
0,20,9,9,2
0,20,10,10,2
0,20,11,11,2
0,21,0,0,2
0,21,1,1,2
0,21,2,2,2
0,21,3,3,2
0,21,4,4,2
0,21,5,5,2
0,21,6,6,2
0,21,7,7,2
0,21,8,8,2
0,21,9,9,2
0,21,10,10,2
0,21,11,11,2
0,22,0,0,2
0,22,1,1,2
0,22,2,2,2
0,22,3,3,2
0,22,4,4,2
0,22,5,5,2
0,22,6,6,2
0,22,7,7,2
0,22,8,8,2
0,22,9,9,2
0,22,10,10,2
0,22,11,11,2
0,23,0,0,2
0,23,1,1,2
0,23,2,2,2
0,23,3,3,2
0,23,4,4,2
0,23,5,5,2
0,23,6,6,2
0,23,7,7,2
0,23,8,8,2
0,23,9,9,2
0,23,10,10,2
0,23,11,11,2
0,24,0,0,2
0,24,1,1,2
0,24,2,2,2
0,24,3,3,2
0,24,4,4,2
0,24,5,5,2
0,24,6,6,2
0,24,7,7,2
0,24,8,8,2
0,24,9,9,2
0,24,10,10,2
0,24,11,11,2
0,25,0,0,2
0,25,1,1,2
0,25,2,2,2
0,25,3,3,2
0,25,4,4,2
0,25,5,5,2
0,25,6,6,2
0,25,7,7,2
0,25,8,8,2
0,25,9,9,2
0,25,10,10,2
0,25,11,11,2
0,26,0,0,2
0,26,1,1,2
0,26,2,2,2
0,26,3,3,2
0,26,4,4,2
0,26,5,5,2
0,26,6,6,2
0,26,7,7,2
0,26,8,8,2
0,26,9,9,2
0,26,10,10,2
0,26,11,11,2
0,27,0,0,2
0,27,1,1,2
0,27,2,2,2
0,27,3,3,2
0,27,4,4,2
0,27,5,5,2
0,27,6,6,2
0,27,7,7,2
0,27,8,8,2
0,27,9,9,2
0,27,10,10,2
0,27,11,11,2
0,28,0,0,2
0,28,1,1,2
0,28,2,2,2
0,28,3,3,2
0,28,4,4,2
0,28,5,5,2
0,28,6,6,2
0,28,7,7,2
0,28,8,8,2
0,28,9,9,2
0,28,10,10,2
0,28,11,11,2
0,29,0,0,2
0,29,1,1,2
0,29,2,2,2
0,29,3,3,2
0,29,4,4,2
0,29,5,5,2
0,29,6,6,2
0,29,7,7,2
0,29,8,8,2
0,29,9,9,2
0,29,10,10,2
0,29,11,11,2
0,30,0,0,2
0,30,1,1,2
0,30,2,2,2
0,30,3,3,2
0,30,4,4,2
0,30,5,5,2
0,30,6,6,2
0,30,7,7,2
0,30,8,8,2
0,30,9,9,2
0,30,10,10,2
0,30,11,11,2
0,31,0,0,2
0,31,1,1,2
0,31,2,2,2
0,31,3,3,2
0,31,4,4,2
0,31,5,5,2
0,31,6,6,2
0,31,7,7,2
0,31,8,8,2
0,31,9,9,2
0,31,10,10,2
0,31,11,11,2
0,32,0,0,2
0,32,1,1,2
0,32,2,2,2
0,32,3,3,2
0,32,4,4,2
0,32,5,5,2
0,32,6,6,2
0,32,7,7,2
0,32,8,8,2
0,32,9,9,2
0,32,10,10,2
0,32,11,11,2
0,33,0,0,2
0,33,1,1,2
0,33,2,2,2
0,33,3,3,2
0,33,4,4,2
0,33,5,5,2
0,33,6,6,2
0,33,7,7,2
0,33,8,8,2
0,33,9,9,2
0,33,10,10,2
0,33,11,11,2
0,34,0,0,2
0,34,1,1,2
0,34,2,2,2
0,34,3,3,2
0,34,4,4,2
0,34,5,5,2
0,34,6,6,2
0,34,7,7,2
0,34,8,8,2
0,34,9,9,2
0,34,10,10,2
0,34,11,11,2
0,35,0,0,2
0,35,1,1,2
0,35,2,2,2
0,35,3,3,2
0,35,4,4,2
0,35,5,5,2
0,35,6,6,2
0,35,7,7,2
0,35,8,8,2
0,35,9,9,2
0,35,10,10,2
0,35,11,11,2
0,36,0,0,2
0,36,1,1,2
0,36,2,2,2
0,36,3,3,2
0,36,4,4,2
0,36,5,5,2
0,36,6,6,2
0,36,7,7,2
0,36,8,8,2
0,36,9,9,2
0,36,10,10,2
0,36,11,11,2
0,37,0,0,2
0,37,1,1,2
0,37,2,2,2
0,37,3,3,2
0,37,4,4,2
0,37,5,5,2
0,37,6,6,2
0,37,7,7,2
0,37,8,8,2
0,37,9,9,2
0,37,10,10,2
0,37,11,11,2
0,38,0,0,2
0,38,1,1,2
0,38,2,2,2
0,38,3,3,2
0,38,4,4,2
0,38,5,5,2
0,38,6,6,2
0,38,7,7,2
0,38,8,8,2
0,38,9,9,2
0,38,10,10,2
0,38,11,11,2
0,39,0,0,2
0,39,1,1,2
0,39,2,2,2
0,39,3,3,2
0,39,4,4,2
0,39,5,5,2
0,39,6,6,2
0,39,7,7,2
0,39,8,8,2
0,39,9,9,2
0,39,10,10,2
0,39,11,11,2
0,40,0,0,2
0,40,1,1,2
0,40,2,2,2
0,40,3,3,2
0,40,4,4,2
