taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
72,9,10,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
73,9,11,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
74,9,12,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
75,9,13,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
76,9,14,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
77,9,15,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
78,9,8,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
79,9,54,236299,URMA_WRITE,1,0ns,0,,0.0,9.97782,0.001,9.99078,189.4594
80,10,11,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
81,10,12,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
82,10,13,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
83,10,14,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
84,10,15,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
85,10,8,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
86,10,9,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
87,10,53,236299,URMA_WRITE,1,0ns,0,,0.0,5.09316,0.001,5.10612,371.1629
88,11,12,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
89,11,13,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
90,11,14,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
91,11,15,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
92,11,8,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
93,11,9,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
94,11,10,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
95,11,52,236299,URMA_WRITE,1,0ns,0,,0.0,5.09316,0.001,5.10612,371.1629
96,12,13,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
97,12,14,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
98,12,15,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
99,12,8,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
100,12,9,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
101,12,10,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
102,12,11,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
103,12,51,236299,URMA_WRITE,1,0ns,0,,0.0,7.79676,0.001,8.04134,242.4587
104,13,14,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
105,13,15,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
106,13,8,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
107,13,9,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
108,13,10,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
109,13,11,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
110,13,12,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
111,13,50,236299,URMA_WRITE,1,0ns,0,,0.0,5.09316,0.001,5.10612,371.1629
112,14,15,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
113,14,8,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
114,14,9,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
115,14,10,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
116,14,11,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
117,14,12,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
118,14,13,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
119,14,49,236299,URMA_WRITE,1,0ns,0,,0.0,5.09416,0.001,5.10712,371.09
120,15,8,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
121,15,9,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
122,15,10,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
123,15,11,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
124,15,12,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
125,15,13,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
126,15,14,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
127,15,48,236299,URMA_WRITE,1,0ns,0,,0.0,5.09316,0.001,5.10612,371.1629
128,16,17,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
129,16,18,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
130,16,19,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
131,16,20,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
132,16,21,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
133,16,22,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
134,16,23,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
135,16,47,236299,URMA_WRITE,1,0ns,0,,0.0,5.09316,0.001,5.10612,371.1629
136,17,18,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
137,17,19,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
