taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
120,8,7,8947849,URMA_WRITE,7,0ns,120,,0,0,0.0,655.64042,0.0,0.0,109.18
121,8,9,8947849,URMA_WRITE,7,0ns,121,,0,0,0.0,214.85406,0.0,0.0,333.1694
122,8,6,8947849,URMA_WRITE,7,0ns,122,,0,0,0.0,657.90632,0.0,0.0,108.8039
123,8,10,8947849,URMA_WRITE,7,0ns,123,,0,0,0.0,214.85406,0.0,0.0,333.1694
124,8,5,8947849,URMA_WRITE,7,0ns,124,,0,0,0.0,654.58988,0.0,0.0,109.3552
125,8,11,8947849,URMA_WRITE,7,0ns,125,,0,0,0.0,214.85406,0.0,0.0,333.1694
126,8,4,8947849,URMA_WRITE,7,0ns,126,,0,0,0.0,648.2191,0.0,0.0,110.4299
127,8,12,8947849,URMA_WRITE,7,0ns,127,,0,0,0.0,647.1826,0.0,0.0,110.6068
128,8,3,8947848,URMA_WRITE,7,0ns,128,,0,0,0.0,653.35434,0.0,0.0,109.562
129,8,13,8947848,URMA_WRITE,7,0ns,129,,0,0,0.0,652.22394,0.0,0.0,109.7518
130,8,2,8947848,URMA_WRITE,7,0ns,130,,0,0,0.0,649.38674,0.0,0.0,110.2314
131,8,14,8947848,URMA_WRITE,7,0ns,131,,0,0,0.0,653.44798,0.0,0.0,109.5463
132,8,1,8947848,URMA_WRITE,7,0ns,132,,0,0,0.0,645.71324,0.0,0.0,110.8585
133,8,15,8947848,URMA_WRITE,7,0ns,133,,0,0,0.0,648.6743,0.0,0.0,110.3524
134,8,0,8947848,URMA_WRITE,7,0ns,134,,0,0,0.0,649.46996,0.0,0.0,110.2172
135,9,8,8947849,URMA_WRITE,7,0ns,135,,0,0,0.0,214.85406,0.0,0.0,333.1694
136,9,10,8947849,URMA_WRITE,7,0ns,136,,0,0,0.0,214.85406,0.0,0.0,333.1694
