taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
109,7,4,8947849,URMA_WRITE,7,0ns,109,,110,110,0.0,181.63326,0.0,0.0,394.1062
110,7,10,8947849,URMA_WRITE,7,0ns,110,,111,111,0.0,553.2181,0.0,0.0,129.3934
111,7,3,8947849,URMA_WRITE,7,0ns,111,,112,112,0.0,554.3234,0.0,0.0,129.1354
112,7,11,8947849,URMA_WRITE,7,0ns,112,,113,113,0.0,556.2074,0.0,0.0,128.698
113,7,2,8947848,URMA_WRITE,7,0ns,113,,114,114,0.0,556.63494,0.0,0.0,128.5992
114,7,12,8947848,URMA_WRITE,7,0ns,114,,115,115,0.0,553.05484,0.0,0.0,129.4316
115,7,1,8947848,URMA_WRITE,7,0ns,115,,116,116,0.0,562.73508,0.0,0.0,127.2051
116,7,13,8947848,URMA_WRITE,7,0ns,116,,117,117,0.0,551.00178,0.0,0.0,129.9139
117,7,0,8947848,URMA_WRITE,7,0ns,117,,118,118,0.0,552.06318,0.0,0.0,129.6641
118,7,14,8947848,URMA_WRITE,7,0ns,118,,119,119,0.0,554.05148,0.0,0.0,129.1988
119,7,15,8947848,URMA_WRITE,7,0ns,119,,120,120,0.0,551.71682,0.0,0.0,129.7455
120,8,7,8947849,URMA_WRITE,7,0ns,120,,121,121,0.0,553.24394,0.0,0.0,129.3874
121,8,9,8947849,URMA_WRITE,7,0ns,121,,122,122,0.0,181.63326,0.0,0.0,394.1062
122,8,6,8947849,URMA_WRITE,7,0ns,122,,123,123,0.0,557.73696,0.0,0.0,128.3451
123,8,10,8947849,URMA_WRITE,7,0ns,123,,124,124,0.0,181.63326,0.0,0.0,394.1062
124,8,5,8947849,URMA_WRITE,7,0ns,124,,125,125,0.0,559.95338,0.0,0.0,127.8371
125,8,11,8947849,URMA_WRITE,7,0ns,125,,126,126,0.0,181.63326,0.0,0.0,394.1062
126,8,4,8947849,URMA_WRITE,7,0ns,126,,127,127,0.0,553.517,0.0,0.0,129.3236
127,8,12,8947849,URMA_WRITE,7,0ns,127,,128,128,0.0,552.84988,0.0,0.0,129.4796
128,8,3,8947848,URMA_WRITE,7,0ns,128,,129,129,0.0,558.24862,0.0,0.0,128.2274
129,8,13,8947848,URMA_WRITE,7,0ns,129,,130,130,0.0,553.526,0.0,0.0,129.3214
130,8,2,8947848,URMA_WRITE,7,0ns,130,,131,131,0.0,556.62594,0.0,0.0,128.6012
131,8,14,8947848,URMA_WRITE,7,0ns,131,,132,132,0.0,556.30456,0.0,0.0,128.6755
132,8,1,8947848,URMA_WRITE,7,0ns,132,,133,133,0.0,562.71008,0.0,0.0,127.2108
133,8,15,8947848,URMA_WRITE,7,0ns,133,,134,134,0.0,551.8887,0.0,0.0,129.7051
