taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,sourcePod,destPod,isCrossPod,logicalRound,basePlane,actualPlane,sourcePlanePrevPhase,recvPlanePrevPhase
122,8,2,1563078,URMA_WRITE,3,0ns,122,,2,0,1,0,0,0,,
123,8,3,1309732,URMA_WRITE,5,0ns,123,134 183,2,0,1,1,2,2,134,183
124,8,4,1385622,URMA_WRITE,6,0ns,124,,2,1,1,0,3,3,,
125,8,5,1085877,URMA_WRITE,6,0ns,125,127 200,2,1,1,2,3,3,127,200
126,8,6,1176788,URMA_WRITE,4,0ns,126,132 201,2,1,1,2,1,1,132,201
127,8,7,1355711,URMA_WRITE,6,0ns,127,124,2,1,1,1,3,3,124,
128,8,9,1477780,URMA_WRITE,7,0ns,128,,2,2,0,,,,,
129,8,10,1258565,URMA_WRITE,7,0ns,129,,2,2,0,,,,,
130,8,11,1549545,URMA_WRITE,7,0ns,130,,2,2,0,,,,,
131,8,12,1260150,URMA_WRITE,3,0ns,131,122,2,3,1,1,0,0,122,
132,8,13,1302186,URMA_WRITE,4,0ns,132,133 162,2,3,1,1,1,1,133,162
133,8,14,1508706,URMA_WRITE,4,0ns,133,,2,3,1,0,1,1,,
134,8,15,1479144,URMA_WRITE,5,0ns,134,,2,3,1,0,2,2,,
135,9,0,1564411,URMA_WRITE,4,0ns,135,,2,0,1,0,0,1,,
136,9,1,1087236,URMA_WRITE,6,0ns,136,148 226,2,0,1,2,2,3,148,226
137,9,2,1278278,URMA_WRITE,4,0ns,137,149 107,2,0,1,2,0,1,149,107
138,9,3,1490258,URMA_WRITE,3,0ns,138,,2,0,1,0,3,0,,
139,9,4,1513621,URMA_WRITE,5,0ns,139,33,2,1,1,0,1,2,,33
140,9,5,1309237,URMA_WRITE,5,0ns,140,139 170,2,1,1,1,1,2,139,170
141,9,6,1497195,URMA_WRITE,6,0ns,141,,2,1,1,0,2,3,,
142,9,7,1274774,URMA_WRITE,5,0ns,142,140,2,1,1,2,1,2,140,
143,9,8,1571374,URMA_WRITE,7,0ns,143,,2,2,0,,,,,
144,9,10,1245404,URMA_WRITE,7,0ns,144,,2,2,0,,,,,
145,9,11,1081763,URMA_WRITE,7,0ns,145,,2,2,0,,,,,
146,9,12,1087169,URMA_WRITE,3,0ns,146,147 131,2,3,1,2,3,0,147,131
147,9,13,1315327,URMA_WRITE,3,0ns,147,138 87,2,3,1,1,3,0,138,87
148,9,14,1314271,URMA_WRITE,6,0ns,148,141 73,2,3,1,1,2,3,141,73
149,9,15,1302739,URMA_WRITE,4,0ns,149,135 29,2,3,1,1,0,1,135,29
150,10,0,1266748,URMA_WRITE,5,0ns,150,151 90,2,0,1,2,0,2,151,90
151,10,1,1291286,URMA_WRITE,5,0ns,151,161 76,2,0,1,1,0,2,161,76
152,10,2,1485973,URMA_WRITE,3,0ns,152,62,2,0,1,0,2,0,,62
153,10,3,1322974,URMA_WRITE,6,0ns,153,164 78,2,0,1,1,1,3,164,78
154,10,4,1197161,URMA_WRITE,6,0ns,154,153 124,2,1,1,2,1,3,153,124
155,10,5,1389377,URMA_WRITE,4,0ns,155,162 4,2,1,1,1,3,1,162,4
156,10,6,1102340,URMA_WRITE,4,0ns,156,155 126,2,1,1,2,3,1,155,126
157,10,7,1378370,URMA_WRITE,3,0ns,157,152 232,2,1,1,1,2,0,152,232
158,10,8,1171108,URMA_WRITE,7,0ns,158,,2,2,0,,,,,
