taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId
143,9,4,8947848,URMA_WRITE,7,0ns,143,,144,144
144,9,14,8947848,URMA_WRITE,7,0ns,144,,145,145
145,9,3,8947848,URMA_WRITE,7,0ns,145,,146,146
146,9,15,8947848,URMA_WRITE,7,0ns,146,,147,147
147,9,2,8947848,URMA_WRITE,7,0ns,147,,148,148
148,9,0,8947848,URMA_WRITE,7,0ns,148,,149,149
149,9,1,8947848,URMA_WRITE,7,0ns,149,,150,150
150,10,9,8947849,URMA_WRITE,7,0ns,150,,151,151
151,10,11,8947849,URMA_WRITE,7,0ns,151,,152,152
152,10,8,8947849,URMA_WRITE,7,0ns,152,,153,153
153,10,12,8947849,URMA_WRITE,7,0ns,153,,154,154
154,10,7,8947849,URMA_WRITE,7,0ns,154,,155,155
155,10,13,8947849,URMA_WRITE,7,0ns,155,,156,156
156,10,6,8947849,URMA_WRITE,7,0ns,156,,157,157
157,10,14,8947849,URMA_WRITE,7,0ns,157,,158,158
158,10,5,8947848,URMA_WRITE,7,0ns,158,,159,159
159,10,15,8947848,URMA_WRITE,7,0ns,159,,160,160
160,10,4,8947848,URMA_WRITE,7,0ns,160,,161,161
161,10,0,8947848,URMA_WRITE,7,0ns,161,,162,162
162,10,3,8947848,URMA_WRITE,7,0ns,162,,163,163
163,10,1,8947848,URMA_WRITE,7,0ns,163,,164,164
164,10,2,8947848,URMA_WRITE,7,0ns,164,,165,165
165,11,10,8947849,URMA_WRITE,7,0ns,165,,166,166
166,11,12,8947849,URMA_WRITE,7,0ns,166,,167,167
167,11,9,8947849,URMA_WRITE,7,0ns,167,,168,168
168,11,13,8947849,URMA_WRITE,7,0ns,168,,169,169
169,11,8,8947849,URMA_WRITE,7,0ns,169,,170,170
170,11,14,8947849,URMA_WRITE,7,0ns,170,,171,171
171,11,7,8947849,URMA_WRITE,7,0ns,171,,172,172
172,11,15,8947849,URMA_WRITE,7,0ns,172,,173,173
173,11,6,8947848,URMA_WRITE,7,0ns,173,,174,174
174,11,0,8947848,URMA_WRITE,7,0ns,174,,175,175
175,11,5,8947848,URMA_WRITE,7,0ns,175,,176,176
176,11,1,8947848,URMA_WRITE,7,0ns,176,,177,177
