taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId
131,8,14,8947848,URMA_WRITE,7,0ns,131,,0,0
132,8,1,8947848,URMA_WRITE,7,0ns,132,,0,0
133,8,15,8947848,URMA_WRITE,7,0ns,133,,0,0
134,8,0,8947848,URMA_WRITE,7,0ns,134,,0,0
135,9,8,8947849,URMA_WRITE,7,0ns,135,,0,0
136,9,10,8947849,URMA_WRITE,7,0ns,136,,0,0
137,9,7,8947849,URMA_WRITE,7,0ns,137,,0,0
138,9,11,8947849,URMA_WRITE,7,0ns,138,,0,0
139,9,6,8947849,URMA_WRITE,7,0ns,139,,0,0
140,9,12,8947849,URMA_WRITE,7,0ns,140,,0,0
141,9,5,8947849,URMA_WRITE,7,0ns,141,,0,0
142,9,13,8947849,URMA_WRITE,7,0ns,142,,0,0
143,9,4,8947848,URMA_WRITE,7,0ns,143,,0,0
144,9,14,8947848,URMA_WRITE,7,0ns,144,,0,0
145,9,3,8947848,URMA_WRITE,7,0ns,145,,0,0
146,9,15,8947848,URMA_WRITE,7,0ns,146,,0,0
147,9,2,8947848,URMA_WRITE,7,0ns,147,,0,0
148,9,0,8947848,URMA_WRITE,7,0ns,148,,0,0
149,9,1,8947848,URMA_WRITE,7,0ns,149,,0,0
150,10,9,8947849,URMA_WRITE,7,0ns,150,,0,0
151,10,11,8947849,URMA_WRITE,7,0ns,151,,0,0
152,10,8,8947849,URMA_WRITE,7,0ns,152,,0,0
153,10,12,8947849,URMA_WRITE,7,0ns,153,,0,0
154,10,7,8947849,URMA_WRITE,7,0ns,154,,0,0
155,10,13,8947849,URMA_WRITE,7,0ns,155,,0,0
156,10,6,8947849,URMA_WRITE,7,0ns,156,,0,0
157,10,14,8947849,URMA_WRITE,7,0ns,157,,0,0
158,10,5,8947848,URMA_WRITE,7,0ns,158,,0,0
159,10,15,8947848,URMA_WRITE,7,0ns,159,,0,0
160,10,4,8947848,URMA_WRITE,7,0ns,160,,0,0
161,10,0,8947848,URMA_WRITE,7,0ns,161,,0,0
162,10,3,8947848,URMA_WRITE,7,0ns,162,,0,0
163,10,1,8947848,URMA_WRITE,7,0ns,163,,0,0
164,10,2,8947848,URMA_WRITE,7,0ns,164,,0,0
165,11,10,8947849,URMA_WRITE,7,0ns,165,,0,0
166,11,12,8947849,URMA_WRITE,7,0ns,166,,0,0
167,11,9,8947849,URMA_WRITE,7,0ns,167,,0,0
168,11,13,8947849,URMA_WRITE,7,0ns,168,,0,0
169,11,8,8947849,URMA_WRITE,7,0ns,169,,0,0
170,11,14,8947849,URMA_WRITE,7,0ns,170,,0,0
171,11,7,8947849,URMA_WRITE,7,0ns,171,,0,0
172,11,15,8947849,URMA_WRITE,7,0ns,172,,0,0
173,11,6,8947848,URMA_WRITE,7,0ns,173,,0,0
174,11,0,8947848,URMA_WRITE,7,0ns,174,,0,0
175,11,5,8947848,URMA_WRITE,7,0ns,175,,0,0
176,11,1,8947848,URMA_WRITE,7,0ns,176,,0,0
177,11,4,8947848,URMA_WRITE,7,0ns,177,,0,0
178,11,2,8947848,URMA_WRITE,7,0ns,178,,0,0
179,11,3,8947848,URMA_WRITE,7,0ns,179,,0,0
180,12,11,8947849,URMA_WRITE,7,0ns,180,,0,0
181,12,13,8947849,URMA_WRITE,7,0ns,181,,0,0
182,12,10,8947849,URMA_WRITE,7,0ns,182,,0,0
183,12,14,8947849,URMA_WRITE,7,0ns,183,,0,0
184,12,9,8947849,URMA_WRITE,7,0ns,184,,0,0
185,12,15,8947849,URMA_WRITE,7,0ns,185,,0,0
186,12,8,8947849,URMA_WRITE,7,0ns,186,,0,0
187,12,0,8947849,URMA_WRITE,7,0ns,187,,0,0
188,12,7,8947848,URMA_WRITE,7,0ns,188,,0,0
189,12,1,8947848,URMA_WRITE,7,0ns,189,,0,0
190,12,6,8947848,URMA_WRITE,7,0ns,190,,0,0
191,12,2,8947848,URMA_WRITE,7,0ns,191,,0,0
192,12,5,8947848,URMA_WRITE,7,0ns,192,,0,0
193,12,3,8947848,URMA_WRITE,7,0ns,193,,0,0
194,12,4,8947848,URMA_WRITE,7,0ns,194,,0,0
195,13,12,8947849,URMA_WRITE,7,0ns,195,,0,0
196,13,14,8947849,URMA_WRITE,7,0ns,196,,0,0
197,13,11,8947849,URMA_WRITE,7,0ns,197,,0,0
198,13,15,8947849,URMA_WRITE,7,0ns,198,,0,0
199,13,10,8947849,URMA_WRITE,7,0ns,199,,0,0
200,13,0,8947849,URMA_WRITE,7,0ns,200,,0,0
201,13,9,8947849,URMA_WRITE,7,0ns,201,,0,0
202,13,1,8947849,URMA_WRITE,7,0ns,202,,0,0
203,13,8,8947848,URMA_WRITE,7,0ns,203,,0,0
204,13,2,8947848,URMA_WRITE,7,0ns,204,,0,0
205,13,7,8947848,URMA_WRITE,7,0ns,205,,0,0
206,13,3,8947848,URMA_WRITE,7,0ns,206,,0,0
207,13,6,8947848,URMA_WRITE,7,0ns,207,,0,0
208,13,4,8947848,URMA_WRITE,7,0ns,208,,0,0
209,13,5,8947848,URMA_WRITE,7,0ns,209,,0,0
210,14,13,8947849,URMA_WRITE,7,0ns,210,,0,0
211,14,15,8947849,URMA_WRITE,7,0ns,211,,0,0
212,14,12,8947849,URMA_WRITE,7,0ns,212,,0,0
213,14,0,8947849,URMA_WRITE,7,0ns,213,,0,0
214,14,11,8947849,URMA_WRITE,7,0ns,214,,0,0
215,14,1,8947849,URMA_WRITE,7,0ns,215,,0,0
216,14,10,8947849,URMA_WRITE,7,0ns,216,,0,0
217,14,2,8947849,URMA_WRITE,7,0ns,217,,0,0
218,14,9,8947848,URMA_WRITE,7,0ns,218,,0,0
219,14,3,8947848,URMA_WRITE,7,0ns,219,,0,0
220,14,8,8947848,URMA_WRITE,7,0ns,220,,0,0
221,14,4,8947848,URMA_WRITE,7,0ns,221,,0,0
222,14,7,8947848,URMA_WRITE,7,0ns,222,,0,0
223,14,5,8947848,URMA_WRITE,7,0ns,223,,0,0
224,14,6,8947848,URMA_WRITE,7,0ns,224,,0,0
225,15,14,8947849,URMA_WRITE,7,0ns,225,,0,0
226,15,0,8947849,URMA_WRITE,7,0ns,226,,0,0
227,15,13,8947849,URMA_WRITE,7,0ns,227,,0,0
228,15,1,8947849,URMA_WRITE,7,0ns,228,,0,0
229,15,12,8947849,URMA_WRITE,7,0ns,229,,0,0
230,15,2,8947849,URMA_WRITE,7,0ns,230,,0,0
231,15,11,8947849,URMA_WRITE,7,0ns,231,,0,0
232,15,3,8947849,URMA_WRITE,7,0ns,232,,0,0
233,15,10,8947848,URMA_WRITE,7,0ns,233,,0,0
234,15,4,8947848,URMA_WRITE,7,0ns,234,,0,0
235,15,9,8947848,URMA_WRITE,7,0ns,235,,0,0
236,15,5,8947848,URMA_WRITE,7,0ns,236,,0,0
237,15,8,8947848,URMA_WRITE,7,0ns,237,,0,0
238,15,6,8947848,URMA_WRITE,7,0ns,238,,0,0
239,15,7,8947848,URMA_WRITE,7,0ns,239,,0,0
