nodeId1,portId1,nodeId2,portId2,bandwidth,delay
43,6,229,3,400Gbps,1ns
43,7,245,3,400Gbps,1ns
44,0,133,4,400Gbps,1ns
44,1,149,4,400Gbps,1ns
44,2,165,4,400Gbps,1ns
44,3,181,4,400Gbps,1ns
44,4,197,4,400Gbps,1ns
44,5,213,4,400Gbps,1ns
44,6,229,4,400Gbps,1ns
44,7,245,4,400Gbps,1ns
45,0,133,5,400Gbps,1ns
45,1,149,5,400Gbps,1ns
45,2,165,5,400Gbps,1ns
45,3,181,5,400Gbps,1ns
45,4,197,5,400Gbps,1ns
45,5,213,5,400Gbps,1ns
45,6,229,5,400Gbps,1ns
45,7,245,5,400Gbps,1ns
46,0,133,6,400Gbps,1ns
46,1,149,6,400Gbps,1ns
46,2,165,6,400Gbps,1ns
46,3,181,6,400Gbps,1ns
46,4,197,6,400Gbps,1ns
46,5,213,6,400Gbps,1ns
46,6,229,6,400Gbps,1ns
46,7,245,6,400Gbps,1ns
47,0,133,7,400Gbps,1ns
47,1,149,7,400Gbps,1ns
47,2,165,7,400Gbps,1ns
47,3,181,7,400Gbps,1ns
47,4,197,7,400Gbps,1ns
47,5,213,7,400Gbps,1ns
47,6,229,7,400Gbps,1ns
47,7,245,7,400Gbps,1ns
48,0,134,0,400Gbps,1ns
48,1,150,0,400Gbps,1ns
48,2,166,0,400Gbps,1ns
48,3,182,0,400Gbps,1ns
48,4,198,0,400Gbps,1ns
48,5,214,0,400Gbps,1ns
48,6,230,0,400Gbps,1ns
48,7,246,0,400Gbps,1ns
49,0,134,1,400Gbps,1ns
49,1,150,1,400Gbps,1ns
49,2,166,1,400Gbps,1ns
49,3,182,1,400Gbps,1ns
49,4,198,1,400Gbps,1ns
49,5,214,1,400Gbps,1ns
49,6,230,1,400Gbps,1ns
49,7,246,1,400Gbps,1ns
50,0,134,2,400Gbps,1ns
50,1,150,2,400Gbps,1ns
50,2,166,2,400Gbps,1ns
50,3,182,2,400Gbps,1ns
50,4,198,2,400Gbps,1ns
50,5,214,2,400Gbps,1ns
