taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint
226,15,0,8947849,URMA_WRITE,7,0ns,226,,0,0,4,4
227,15,13,8947849,URMA_WRITE,7,0ns,227,,0,0,1,2
228,15,1,8947849,URMA_WRITE,7,0ns,228,,0,0,3,3
229,15,12,8947849,URMA_WRITE,7,0ns,229,,0,0,0,2
230,15,2,8947849,URMA_WRITE,7,0ns,230,,0,0,6,6
231,15,11,8947849,URMA_WRITE,7,0ns,231,,0,0,5,5
232,15,3,8947849,URMA_WRITE,7,0ns,232,,0,0,5,5
233,15,10,8947848,URMA_WRITE,7,0ns,233,,0,0,6,6
234,15,4,8947848,URMA_WRITE,7,0ns,234,,0,0,4,4
235,15,9,8947848,URMA_WRITE,7,0ns,235,,0,0,3,3
236,15,5,8947848,URMA_WRITE,7,0ns,236,,0,0,3,3
237,15,8,8947848,URMA_WRITE,7,0ns,237,,0,0,4,4
238,15,6,8947848,URMA_WRITE,7,0ns,238,,0,0,6,6
239,15,7,8947848,URMA_WRITE,7,0ns,239,,0,0,5,5
